,0
title,Toy Story 3
Directed by,Lee Unkrich
Screenplay by,Michael Arndt
Story by,"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']"
Produced by,Darla K. Anderson
Starring,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']"
Cinematography,"['Jeremy Lasky', 'Kim White']"
Edited by,Ken Schretzmann
Music by,Randy Newman
Production companies,"['Walt Disney Pictures', 'Pixar Animation Studios']"
Distributed by,Walt Disney Studios Motion Pictures
Release dates,"['June 12, 2010 ( 2010-06-12 ) ( Taormina Film Fest )', 'June 18, 2010 ( 2010-06-18 ) (United States)']"
Running time,103 minutes [1]
Country,United States
Language,English
Budget,$200 million [1]
Box office,$1.067 billion [1]
